"","country_code","gender_ineq_index"
"1","AR","0.354"
"2","AT","0.073"
"3","AU","0.103"
"4","BD","0.536"
"5","BE","0.045"
"6","BR","0.386"
"7","CA","0.083"
"8","CH","0.037"
"9","CL","0.288"
"10","CN","0.163"
"11","CO","0.411"
"12","CZ","0.137"
"13","DE","0.084"
"14","DK","0.040"
"15","EG","0.450"
"16","ES","0.074"
"17","FI","0.050"
"18","FR","0.051"
"19","GB","0.119"
"20","ID","0.451"
"21","IE","0.093"
"22","IL","0.100"
"23","IN","0.501"
"24","IT","0.069"
"25","KR","0.058"
"26","MX","0.334"
"27","NL","0.041"
"28","NO","0.044"
"29","NZ","0.133"
"30","PH","0.425"
"31","PK","0.547"
"32","PL","0.120"
"33","PT","0.081"
"34","RO","0.316"
"35","RU","0.255"
"36","SG","0.065"
"37","TR","0.305"
"38","UA","0.284"
"39","US","0.182"
"40","VN","0.314"
"41","ZA","0.422"
