"country_code","female","male","total","prop_female"
"AR",151,2258,2409,0.0626816106268161
"AT",133,2766,2899,0.0458778889272163
"AU",111,1435,1546,0.0717981888745149
"BD",135,2134,2269,0.0594975760246805
"BE",166,1993,2159,0.0768874478925428
"BR",313,3695,4008,0.0780938123752495
"CA",173,1697,1870,0.0925133689839572
"CH",282,4183,4465,0.0631578947368421
"CN",115,1273,1388,0.0828530259365994
"CO",344,4486,4830,0.0712215320910973
"DE",106,2131,2237,0.0473848904783192
"DK",261,3625,3886,0.0671641791044776
"EG",345,3166,3511,0.0982626032469382
"ES",367,4634,5001,0.0733853229354129
"FI",265,3402,3667,0.0722661576220344
"FR",111,1739,1850,0.06
"GB",150,1921,2071,0.0724287783679382
"ID",347,3283,3630,0.0955922865013774
"IE",230,2814,3044,0.0755584756898817
"IN",171,2862,3033,0.056379821958457
"IT",198,4196,4394,0.0450614474283113
"KR",108,1099,1207,0.0894780447390224
"MX",182,2507,2689,0.0676831535886947
"NL",366,4516,4882,0.0749692748873413
"NO",213,3059,3272,0.0650977995110024
"NZ",316,2990,3306,0.0955837870538415
"PH",283,1781,2064,0.137112403100775
"PK",195,5017,5212,0.0374136607828089
"PL",521,5322,5843,0.0891665240458668
"PT",379,4023,4402,0.0860972285324852
"RO",375,2814,3189,0.117591721542803
"RU",112,1872,1984,0.0564516129032258
"TR",360,4752,5112,0.0704225352112676
"TW",148,1387,1535,0.0964169381107492
"UA",401,4475,4876,0.082239540607055
"US",1142,10020,11162,0.102311413725139
"ZA",103,1555,1658,0.0621230398069964
